separation_dist	tot_energy	Lx	Ly	Lz	vol
ang	eV	ang	ang	ang	ang3
0	-4091.27561856	3.4360013523	3.4360013523	34.3600112616	405.6579108235
0.1322925	-4091.272011704	3.4360013523	3.4360013523	34.4923041857	407.2197750145
0.264585	-4091.258831536	3.4360013523	3.4360013523	34.6245971097	408.7816392056
0.3968775	-4091.237912696	3.4360013523	3.4360013523	34.7568900338	410.3435033966
0.52917	-4091.210719632	3.4360013523	3.4360013523	34.8891829579	411.9053675876
0.6614625	-4091.17895588	3.4360013523	3.4360013523	35.0214758819	413.4672317787
0.793755	-4091.144112408	3.4360013523	3.4360013523	35.153768806	415.0290959697
0.9260475	-4091.106952584	3.4360013523	3.4360013523	35.2860617301	416.5909601608
1.05834	-4091.069049792	3.4360013523	3.4360013523	35.4183512181	418.152783786
1.1906325	-4091.030984752	3.4360013523	3.4360013523	35.5506441422	419.7146479771
1.322925	-4090.993176208	3.4360013523	3.4360013523	35.6829370663	421.2765121681
1.4552175	-4090.95669584	3.4360013523	3.4360013523	35.8152299903	422.8383763592
1.58751	-4090.921444504	3.4360013523	3.4360013523	35.9475229144	424.4002405502
1.7198025	-4090.888010264	3.4360013523	3.4360013523	36.0798158385	425.9621047413
1.852095	-4090.8564958	3.4360013523	3.4360013523	36.2121087625	427.5239689323
1.9843875	-4090.827072744	3.4360013523	3.4360013523	36.3444016866	429.0858331234
2.11668	-4090.799771288	3.4360013523	3.4360013523	36.4766911747	430.6476567486
2.2489725	-4090.774371792	3.4360013523	3.4360013523	36.6089840987	432.2095209397
2.381265	-4090.7511434	3.4360013523	3.4360013523	36.7412770228	433.7713851307
2.5135575	-4090.729947936	3.4360013523	3.4360013523	36.8735699469	435.3332493218
2.64585	-4090.71066368	3.4360013523	3.4360013523	37.0058628709	436.8951135128
2.7781425	-4090.693178296	3.4360013523	3.4360013523	37.138155795	438.4569777038
2.910435	-4090.677503208	3.4360013523	3.4360013523	37.2704487191	440.0188418949
3.0427275	-4090.663394568	3.4360013523	3.4360013523	37.4027416431	441.5807060859
3.17502	-4090.650929488	3.4360013523	3.4360013523	37.5350311312	443.1425297112
3.3073125	-4090.639812712	3.4360013523	3.4360013523	37.6673240553	444.7043939022
3.439605	-4090.629891648	3.4360013523	3.4360013523	37.7996169793	446.2662580933
3.5718975	-4090.621395728	3.4360013523	3.4360013523	37.9319099034	447.8281222843
3.70419	-4090.613865272	3.4360013523	3.4360013523	38.0642028275	449.3899864754
3.8364825	-4090.607422136	3.4360013523	3.4360013523	38.1964957515	450.9518506664
3.968775	-4090.601896592	3.4360013523	3.4360013523	38.3287886756	452.5137148575
4.1010675	-4090.597214928	3.4360013523	3.4360013523	38.4610815997	454.0755790485
4.23336	-4090.593291328	3.4360013523	3.4360013523	38.5933710877	455.6374026738
4.3656525	-4090.589960552	3.4360013523	3.4360013523	38.7256640118	457.1992668648
4.497945	-4090.587145896	3.4360013523	3.4360013523	38.8579569359	458.7611310559
4.6302375	-4090.584982136	3.4360013523	3.4360013523	38.9902498599	460.3229952469
4.76253	-4090.583244464	3.4360013523	3.4360013523	39.122542784	461.8848594379
4.8948225	-4090.581602536	3.4360013523	3.4360013523	39.2548357081	463.446723629
5.027115	-4090.58049944	3.4360013523	3.4360013523	39.3871286321	465.00858782
5.1594075	-4090.579394984	3.4360013523	3.4360013523	39.5194215562	466.5704520111
5.2917	-4090.578548792	3.4360013523	3.4360013523	39.6517110443	468.1322756363
5.4239925	-4090.57782772	3.4360013523	3.4360013523	39.7840039683	469.6941398274
5.556285	-4090.577226736	3.4360013523	3.4360013523	39.9162968924	471.2560040184
5.6885775	-4090.576927128	3.4360013523	3.4360013523	40.0485898165	472.8178682095
5.82087	-4090.576396592	3.4360013523	3.4360013523	40.1808827405	474.3797324005
5.9531625	-4090.57607128	3.4360013523	3.4360013523	40.3131756646	475.9415965916
6.085455	-4090.575916648	3.4360013523	3.4360013523	40.4454685886	477.5034607826
6.2177475	-4090.575308048	3.4360013523	3.4360013523	40.5777615127	479.0653249737
6.35004	-4090.575300296	3.4360013523	3.4360013523	40.7100510008	480.6271485989
6.4823325	-4090.575026664	3.4360013523	3.4360013523	40.8423439248	482.18901279
6.614625	-4090.574926704	3.4360013523	3.4360013523	40.9746368489	483.750876981
6.7469175	-4090.57468952	3.4360013523	3.4360013523	41.106929773	485.3127411721
6.87921	-4090.574557328	3.4360013523	3.4360013523	41.239222697	486.8746053631
7.0115025	-4090.574445264	3.4360013523	3.4360013523	41.3715156211	488.4364695541
7.143795	-4090.574258944	3.4360013523	3.4360013523	41.5038085452	489.9983337452
7.2760875	-4090.574211208	3.4360013523	3.4360013523	41.6361014692	491.5601979362
7.40838	-4090.574191896	3.4360013523	3.4360013523	41.7683909573	493.1220215615
7.93755	-4090.573852712	3.4360013523	3.4360013523	42.2975626536	499.3694783257
8.46672	-4090.573810688	3.4360013523	3.4360013523	42.8267309138	505.6168945241
8.99589	-4090.573668296	3.4360013523	3.4360013523	43.3559026101	511.8643512882
9.52506	-4090.573760504	3.4360013523	3.4360013523	43.8850708704	518.1117674866
10.05423	-4090.57371984	3.4360013523	3.4360013523	44.4142425666	524.3592242508
10.5834	-4090.573641232	3.4360013523	3.4360013523	44.9434108269	530.6066404492
11.11257	-4090.57364504	3.4360013523	3.4360013523	45.4725825232	536.8540972134
